Año,Cantidad,Condicion,Clasificación
2010,3885,Ingreso,Total de Estudiantes
2010,3090,Ingreso,Estudiantes Varones
2010,795,Ingreso,Estudiantes Mujeres
2010,101,Egreso,Total de Egresados
2010,57,Egreso,Egresados Varones
2010,44,Egreso,Egresados Mujeres
