Año,Cantidad,Condicion,Clasificación
2010,1783676,Ingreso,Total de Estudiantes
2010,647683,Ingreso,Estudiantes Varones
2010,830927,Ingreso,Estudiantes Mujeres
2010,107119,Egreso,Total de Egresados
2010,36353,Egreso,Egresados Varones
2010,53534,Egreso,Egresados Mujeres
